feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,target
industry,2000-08-23,1999-11-06,29.91795924318099,ticket,-8,488,model,48242,44.90086809108859,1990-02-14,19.02541599866478,0
oil,1996-10-01,2017-05-12,42.47710783109659,travel,1,70,runway,27574,30.184198144232656,2000-01-24,31.222861100543096,0
power,1983-09-24,1994-01-19,1.4694866556573425,package,8,280,fashion,-34011,16.55812859613046,2011-06-07,69.65186149535438,1
power,2006-09-11,2000-04-21,45.019611814607686,tourist,-2,442,collection,-48417,10.88141299952353,1992-09-04,9.287638933720082,0
production,2017-09-18,2017-03-04,37.017551195472315,industry,10,401,show,-15075,45.963215562904,2006-10-12,32.04228536969799,0
gas,2007-12-08,1988-03-23,15.599142395366474,explore,20,339,clothing,-21090,40.44174855970243,2012-11-14,49.037785430827896,1
oil,2000-07-12,2009-01-04,2.253201024880446,guide,9,-77,design,38367,14.49953904305354,1987-11-07,45.167026147205966,0
electricity,2003-03-04,1987-05-17,32.73500960769441,agency,2,85,week,-15443,39.2798852679097,1999-09-06,1.9346394777908071,0
generation,1985-03-22,1996-01-02,12.595036561597542,experience,27,461,show,24042,12.889959118467136,1995-12-08,61.0044396532073,1
consumption,2002-09-23,2015-02-28,1.9621917006859961,destination,1,165,apparel,-11487,39.07246979465202,1984-08-13,52.58455985815103,1
electricity,2022-07-05,1995-10-06,41.93455438815022,vacation,9,495,model,-32429,34.09243253585457,1984-02-10,47.672226910493926,0
coal,1984-01-27,2000-05-05,31.522445693327093,tourist,9,216,style,1466,42.476238413506486,2008-03-28,42.29581589796663,1
energy,1994-12-27,1983-05-22,35.98949300503301,guide,0,235,show,24111,29.482125943390304,2014-07-01,5.175645676939492,0
generation,1997-04-09,2000-11-12,36.358693852905795,adventure,1,332,week,-26193,28.61191935436652,1990-10-03,18.677278081220013,0
consumption,2015-03-17,1990-06-24,33.50543480286159,traveler,-4,135,collection,36370,46.2432242748491,2010-09-09,15.954383234364133,0
oil,2016-07-12,2003-04-26,40.220339455165714,agency,9,132,runway,-17907,35.35546342068763,1983-03-04,7.5457021076251225,0
fuel,1982-04-03,2021-06-06,18.318291528054086,adventure,8,483,design,-31999,40.59530848059511,1989-06-14,49.617614075771726,0
generation,2009-10-07,2011-02-18,24.5650753855465,booking,-6,430,runway,-18571,30.381167975127443,2009-08-10,2.392287453426147,0
grid,1994-06-09,1984-07-21,6.118347219420519,industry,4,159,designer,-28026,15.34501157124628,1988-02-05,47.210519305175566,1
gas,1985-04-03,1980-02-01,44.8179839922139,adventure,-3,401,week,17675,31.26167865553698,1987-01-26,12.29191211546751,0
fuel,1998-10-08,1988-12-12,8.240039405846133,guide,8,38,design,10857,40.77861214239796,1983-05-23,40.46419668546252,1
production,1983-02-04,2019-04-19,24.961222144011977,ticket,-9,453,industry,20561,41.72427921247263,1990-05-07,24.47330099987119,0
renewable,2002-06-03,2000-01-15,4.95474056659496,package,1,399,design,4735,48.90697799402596,1984-08-18,31.81831624733298,0
wind,1993-12-10,2015-03-14,34.81039293318887,tourism,9,494,collection,-48852,22.27227877671486,1996-09-05,18.66924130011342,0
generation,2011-10-03,1999-09-05,17.36695547701948,tourist,10,181,model,-26548,32.59946494501391,2012-12-17,20.969505027935607,0
electricity,1999-09-27,1986-06-13,12.325661388059768,guide,-7,14,model,20467,10.676782232443562,1982-07-15,3.569285402565828,0
wind,1981-11-11,2019-01-05,41.8155920895128,tourism,12,187,show,-19663,5.109537337833772,1994-08-15,27.63743417048799,0
electricity,2004-06-19,2013-05-04,17.53667177906378,adventure,8,431,industry,25774,36.51071090344345,1990-07-06,16.701256290804594,0
fuel,1990-03-01,1990-10-12,28.707517439112753,ticket,29,466,industry,45407,8.1048872991067,1999-08-11,58.87581419683459,1
electricity,2021-01-11,1997-08-11,49.049609508116596,trip,4,209,design,35066,37.57520782825363,2008-02-16,69.97049506375143,1
nuclear,1981-11-18,1991-11-26,17.988067644643902,trip,9,-1,runway,25381,32.92997497441527,2001-05-22,52.28916034144331,1
consumption,1997-06-06,2014-04-25,12.934051492112815,accommodation,9,40,week,38543,1.7128695427720626,2013-11-02,28.262370526895573,0
generation,2012-07-13,1985-02-10,48.73209731879039,booking,-7,-87,week,31787,42.199587179712864,1987-07-18,36.423201019266536,0
electricity,1990-09-27,1986-04-18,42.149155050698006,travel,-8,357,week,-27935,38.216255112042326,2011-07-21,41.17280019290072,0
energy,2012-09-24,2002-03-09,26.55753135245984,trip,10,441,model,-5467,23.358005759225872,1984-01-28,36.708384232913964,0
consumption,2021-06-16,2002-04-13,48.06703645016677,traveler,-3,-11,show,-20234,16.771378382207246,1991-01-26,3.4327342153932854,0
coal,2014-10-06,2015-07-20,28.684733074305964,tourist,1,174,show,-29791,15.49463394139806,2000-11-22,52.74187121240956,1
consumption,2018-05-12,2023-03-26,42.83651575534275,tourism,-2,297,show,-30949,20.91678992436444,2020-01-21,23.025007120328734,0
industry,1990-11-21,1987-03-21,41.276375828379805,trip,9,168,week,13109,34.16029567396399,2008-01-11,39.227810381222156,0
energy,1990-05-19,1995-06-25,47.51289533114823,ticket,9,483,model,22849,43.021872456043035,2010-11-25,40.468593767320236,0
industry,1994-06-07,2005-05-28,12.754698879058274,explore,1,344,show,34459,46.43362558773011,1989-04-07,16.995255706272985,0
facility,2018-07-25,2017-01-12,2.771677646351617,traveler,26,68,brand,40531,24.983175704888676,2005-10-20,40.707473521968915,1
fuel,1981-01-03,1994-01-22,42.98333306389412,journey,6,225,week,48688,33.22964750572888,2014-02-18,9.779663735824037,0
industry,1997-09-13,2001-09-24,16.61017793125314,tourism,11,439,collection,6863,14.948920713913875,2020-03-26,48.5079154566275,1
electricity,2005-11-19,1999-10-12,24.482834388612815,travel,21,-26,collection,-19711,48.45215534691262,1986-07-22,54.76162907129334,1
consumption,2002-02-01,1988-12-06,10.346614069465222,accommodation,20,46,designer,-65,20.849170218923362,1998-02-06,61.286929956612106,1
solar,1980-05-13,2000-09-01,45.845044316816875,agency,6,-16,model,15117,28.77038217372757,1998-05-09,6.044771238801747,0
consumption,2008-01-12,1998-07-24,32.29025297056672,package,28,-84,collection,-9453,46.54812043439984,2008-10-09,53.77028518596522,1
facility,2018-04-16,2014-04-21,17.438898528095958,tourist,17,418,style,2268,9.965614206580973,2018-11-13,52.95439390657858,1
nuclear,1992-05-20,2002-05-03,7.857489679997662,agency,2,17,runway,-38850,33.015214902587104,2021-11-04,27.12942984487242,0
consumption,1995-06-19,1987-01-08,19.152531703189563,tourist,23,251,runway,29618,4.4831768051489105,2003-12-12,67.37751337849235,1
generation,1987-10-27,2002-01-28,24.841772694347842,destination,14,229,style,-19669,33.77357367513093,2000-04-20,59.70286714730863,1
oil,2022-12-13,1989-08-04,10.282870191897233,ticket,0,265,industry,-32671,12.078635861723201,2019-09-02,64.42399720748799,1
resource,1995-06-26,2008-09-05,10.010402337981278,guide,15,381,show,5916,33.97502029732768,1995-11-07,53.47653452640454,1
solar,1987-01-21,2014-01-28,42.53709874898848,vacation,9,351,show,-39575,25.92636758485952,2003-06-09,68.99508678350404,1
nuclear,2019-09-06,1985-11-12,33.07810613963256,agency,8,-91,collection,9329,41.24377125130642,2020-08-15,67.63691775524438,1
power,1997-09-16,1986-01-10,27.48931918803084,holiday,-3,286,industry,-16199,46.78993227425823,1988-12-14,31.86318541129302,0
efficiency,2016-04-27,1999-09-21,43.166963203882666,holiday,21,-39,fashion,48386,41.973003129635735,2022-11-09,47.633757662697626,1
efficiency,1985-09-12,1991-05-13,45.33161938824438,accommodation,2,424,brand,10707,15.265703699403653,1985-08-01,61.15941877884868,1
renewable,1988-10-03,2022-10-01,43.443944772127814,agency,1,5,runway,38560,3.7035285208234194,2000-03-27,24.434208688557224,0
coal,2016-06-25,1988-08-05,16.36446643339662,journey,0,-5,accessory,11035,32.70598347019762,2001-10-13,67.04922575240812,1
grid,1982-10-20,2004-07-23,15.006129459084502,agency,5,447,week,49653,45.1463956139758,2014-04-01,30.092380489559886,0
industry,2003-02-05,1988-08-09,19.512063247431442,ticket,23,454,clothing,-22979,16.585797397229868,2018-12-15,45.989997911982584,1
fuel,1986-11-01,2008-03-16,6.070614010387175,accommodation,2,198,design,-30929,30.351218233450687,1981-04-03,4.165193843698541,0
consumption,1987-09-19,2003-05-20,34.81082248555766,tourist,29,88,garment,-1536,30.921597552155482,2002-04-26,43.13919373135779,1
fuel,1999-05-11,2012-07-08,9.95345393793774,industry,-3,-2,collection,-12931,39.129707286588456,1983-05-28,49.633508394935085,0
energy,2001-05-03,2006-12-18,4.903683432980504,tourism,26,186,accessory,26181,7.851922104537948,1999-03-06,53.90857274156697,1
consumption,2005-01-28,2004-10-23,17.396790641994855,tourism,-1,309,runway,-4345,47.59502134891908,1982-01-14,29.846950471148148,0
electricity,2008-04-05,1989-08-13,22.289570732302177,tourism,-3,116,collection,-38803,38.059565944001946,1993-05-17,30.18155048175268,0
oil,1984-09-04,1988-11-13,48.9586635880564,accommodation,1,191,collection,-6954,4.643575442122213,2021-07-03,29.27512868680262,0
coal,1989-09-25,1995-02-18,27.2096360185144,package,0,334,collection,-26214,6.994845575858543,1986-06-02,42.750485091799064,0
gas,1984-07-16,1991-04-22,27.03595647134266,journey,2,308,collection,32748,24.242712154058093,2018-02-27,49.7943800251076,1
industry,1988-05-24,1993-06-04,35.53649893932753,journey,2,23,model,-26419,45.16640880159323,2003-08-22,16.373511641520658,0
nuclear,1994-07-13,2000-09-23,36.734527989743476,booking,-3,89,industry,44249,14.711591110422773,1985-03-19,48.18833961569045,0
gas,1986-08-28,2023-03-10,8.925582088825976,vacation,17,313,trend,-2816,38.117313634340775,1997-02-14,69.52993121861148,1
efficiency,1980-09-13,1985-01-24,15.404666813610255,package,17,238,design,42202,13.05210864701987,2006-10-23,67.06434034165719,1
power,2003-11-24,2021-10-13,36.18893870879446,destination,1,279,collection,12440,28.31795603200476,2007-07-09,45.32013785337369,1
production,2001-02-26,1985-04-25,2.371094815517017,package,3,50,couture,25324,34.547401893364956,2008-06-14,62.050646737426085,1
industry,2003-06-26,2012-03-17,15.475855768901233,experience,-3,45,runway,-26212,34.43446917563428,2013-06-21,1.2702678123458149,0
resource,2005-12-23,2020-03-08,4.952178208994065,traveler,-5,229,design,7699,4.117762269429887,2013-09-18,18.870766424994194,0
grid,1996-11-22,2017-01-07,12.732892825027935,adventure,-6,88,runway,-21470,20.0947945611656,2012-04-09,42.02662529918382,0
gas,2014-01-13,1982-04-10,6.40980817307825,ticket,-6,66,week,49916,31.57617101570388,1992-05-19,12.915844444029123,0
production,1986-08-22,1999-11-24,15.299766229173734,experience,4,472,brand,-48174,46.02415545071623,2021-10-19,40.36882660723984,1
energy,1993-01-18,1993-07-12,17.044610255332138,adventure,18,-47,accessory,12440,47.24112624094944,1987-04-02,45.62715173106376,1
power,2013-11-15,1998-09-01,46.546502173615224,agency,12,300,brand,-12552,26.97484512965129,2006-05-23,44.69005066961691,1
power,1980-10-20,2003-01-17,48.317356412803356,travel,-9,15,model,-36017,19.08269149449038,1992-11-02,18.623330261356386,0
gas,2017-04-04,2020-02-23,9.889102939797285,explore,0,63,industry,12011,20.32663199035158,2010-09-02,6.158886447417497,0
efficiency,1990-09-12,2013-03-25,3.28808461069847,traveler,15,387,design,44778,19.11054048334478,1994-02-18,69.74253174937526,1
industry,1993-03-01,2009-10-09,34.12814404625619,vacation,-8,166,design,-2244,18.609597070086032,2017-05-23,48.87959019820128,0
renewable,2006-10-17,1993-03-13,48.48550431576224,accommodation,-2,386,industry,-27033,47.24920558095065,1981-10-06,6.884539041707512,0
electricity,2004-10-27,1998-09-18,32.85306902092289,tourism,10,200,industry,38314,12.297730795474163,1993-08-12,18.057826306535404,0
grid,1992-10-08,2017-06-04,22.180228640545693,explore,12,223,industry,22987,48.89754766791427,1991-07-20,21.40490583746628,0
power,1997-03-07,1989-01-14,29.665735943254276,tourism,-2,22,collection,31876,6.4150472867037855,1986-02-25,13.919339071591649,0
industry,2018-04-14,2009-11-07,49.54675277316159,destination,24,-11,apparel,40793,40.482573029321706,2018-08-28,67.82123926969639,1
production,1990-03-05,1990-01-06,25.5943081098988,travel,2,378,week,-12888,20.57922051289294,1990-07-24,39.73436212684287,0
resource,1995-10-09,1995-02-25,47.410981600918085,tourism,3,-23,runway,18528,6.969152597817801,1991-08-08,4.690834044134617,0
resource,2009-02-20,2012-06-09,13.902776139856297,industry,10,89,model,-19460,28.43725210432746,2013-07-22,7.502909756702857,0
fuel,1983-03-23,1991-09-21,1.2990561557844518,vacation,17,194,brand,44382,42.76202147826151,2007-11-15,49.035781639444906,1
efficiency,2021-10-28,1998-12-28,4.462786763723212,vacation,20,306,show,-38029,23.581010591756126,2007-11-21,58.409287503785194,1
fuel,1994-12-02,2007-09-07,12.312788940537846,ticket,11,365,industry,-24889,3.459713306914289,2010-04-01,43.1625452933558,1
wind,1989-09-22,2020-01-13,3.4573160217521552,explore,12,300,runway,43632,4.070549626221886,1985-08-03,53.56469950056572,1
efficiency,1995-10-16,2008-07-11,26.262545268156245,tourism,-2,372,model,-3537,6.297862903242004,2009-02-13,5.537798834558691,0
electricity,1989-05-11,1991-02-28,32.86019001229458,traveler,15,369,brand,17122,48.2953745922906,2013-01-11,53.499789836945524,1
wind,2016-01-20,2008-02-02,22.341439328838288,guide,5,151,clothing,4863,21.425937773006407,1988-12-24,59.172560006111496,1
electricity,2022-02-19,2012-02-10,26.568078936995917,tourism,15,383,couture,-28058,47.52709451634203,2008-01-10,41.16518917890629,1
facility,1984-05-17,2002-04-20,37.49204104318211,vacation,1,382,design,38693,23.422793597652884,2007-03-12,22.842044325276095,0
production,2007-02-13,2005-11-14,12.863323149098683,travel,9,86,fashion,-43496,4.83140658784733,1997-08-13,65.60248401668332,1
fuel,2019-04-11,1994-09-07,38.17073464494592,tourism,29,178,accessory,19839,10.147840232994218,1982-06-22,46.617761688936646,1
grid,2021-01-07,1995-02-17,47.65146816122931,traveler,8,222,design,-49276,8.182085678375277,2022-10-04,44.54534997835161,1
electricity,1999-03-20,2000-01-07,14.496765393390056,tourist,3,8,industry,43626,13.098860969108255,2003-05-27,8.929459440740949,0
electricity,1992-11-28,2001-05-12,40.16597656814348,agency,-5,105,model,-32603,2.3860270693389274,2012-05-04,21.516546726379907,0
power,1999-06-21,1991-05-10,29.160157447146425,tourist,-7,95,week,8716,41.958911856425495,1989-04-05,41.86745297709863,0
nuclear,2008-08-02,1986-01-03,14.44803269395296,agency,10,156,collection,18798,9.486560176001582,2017-12-19,15.684978856991705,0
industry,1998-10-01,2009-09-19,17.720312668959224,ticket,2,269,industry,-16729,44.6502153522837,2019-05-28,42.9058851579228,0
grid,2011-09-19,1996-02-10,38.22027372636631,journey,19,473,collection,-27708,46.634451286676466,2021-05-12,50.470969404435905,1
consumption,1992-07-17,2007-02-23,42.158651096113836,tourism,2,331,show,-35727,34.08034915773427,1997-06-18,53.6186262348348,1
electricity,2018-04-06,1997-11-15,12.284885299482191,accommodation,26,131,industry,-25474,49.90535787805301,2003-09-18,68.08352886122735,1
nuclear,2014-08-20,1995-11-04,13.909925356969556,accommodation,-3,-28,design,-14014,9.196878285842438,2008-08-19,6.05884057186786,0
wind,1989-04-14,1995-10-02,16.467347755512023,ticket,10,450,brand,-48187,13.207774152831385,1984-10-09,67.39206776847541,1
energy,1982-05-17,1990-08-10,29.84973880128982,holiday,-9,300,collection,25842,40.34895715703419,1998-11-28,5.225961041640517,0
oil,2022-07-26,1985-07-26,48.42413737127121,holiday,-1,444,show,-13916,18.570134868366516,1987-05-04,40.30222861296632,0
renewable,2022-12-14,2012-04-21,34.96371176543123,guide,1,353,design,-7679,32.741145104666096,1992-09-11,64.14304417398544,1
fuel,1982-09-17,2010-08-28,44.66084102232862,guide,10,248,runway,-4069,40.99086435021398,2016-09-05,58.47880348121792,1
energy,2001-04-12,2009-11-20,25.59302905953204,agency,0,267,garment,15783,14.290972815798849,1986-11-17,46.9090523609829,1
oil,1999-11-27,1984-02-24,18.266702500954587,agency,8,433,design,-5905,45.69809658788094,2003-02-10,63.06347140364595,1
consumption,1989-07-12,1989-02-25,9.360255985928227,explore,4,457,runway,-48852,20.95765644921071,1997-02-05,46.03109537748995,0
consumption,1991-07-18,1994-06-15,14.82417237132023,guide,9,-34,show,11572,26.203806940491717,1992-10-06,42.04325985350282,1
nuclear,1984-01-02,2015-01-25,42.86961222390615,journey,6,169,week,32786,28.494495827650592,2020-08-08,44.73538622059588,0
coal,1996-05-24,2018-04-24,37.552054409993175,travel,29,379,show,-22575,44.66471746972626,1989-10-21,47.290635990148964,1
oil,1996-02-05,2017-03-14,43.909648416031835,ticket,0,5,trend,-5694,23.89987399405448,2007-01-13,44.98585028040908,1
oil,1993-06-25,2012-01-07,29.68059905301777,package,-6,356,collection,33153,40.34011711381654,1989-10-19,32.567540367912216,0
renewable,2001-04-10,2002-09-20,43.928833326800635,holiday,3,192,collection,-24746,19.612281038412,2013-07-02,12.68558675062872,0
fuel,1996-06-03,2004-10-23,19.996480472416515,adventure,1,488,collection,30929,34.616819722677654,2011-01-19,49.51672502421849,1
consumption,2002-12-03,2000-11-02,29.40822200974799,holiday,27,10,brand,47566,9.984485712043949,2011-10-04,42.93337306729236,1
renewable,2012-09-28,2014-10-20,23.860264936175252,travel,16,465,apparel,-1246,2.299196338011038,1994-01-04,40.6752019576661,1
consumption,1985-09-13,2010-08-24,31.770802460144207,industry,15,111,trend,43356,47.04618375187801,2008-08-09,41.54762327094665,1
efficiency,2017-03-15,1987-01-18,37.6482031727606,tourism,-1,42,design,-48987,38.55418831964234,1995-10-17,40.61873470450661,0
production,2005-02-16,1997-05-16,48.92928024109739,vacation,9,282,design,5157,29.387206936846216,2013-01-11,47.9864915321586,0
solar,2018-03-24,1986-04-04,21.92822973845653,travel,4,210,runway,-3237,21.79636194176668,2001-02-01,54.95552780729348,1
gas,1992-05-16,2004-07-17,49.56295148958318,journey,4,8,week,-5499,22.96743953241568,2010-09-04,30.438757532731206,0
solar,1992-03-11,1991-04-26,26.23457059263112,destination,-5,421,industry,44307,44.53405972600674,1990-02-14,18.721473145884566,0
nuclear,1981-09-24,1980-02-08,37.846574492405196,journey,-7,182,runway,-11327,19.24160311011928,2012-10-18,27.71667348111961,0
gas,2010-12-16,1981-03-06,11.344973532026623,guide,-4,273,runway,7447,33.60617679960377,2002-04-03,40.38652057353863,0
grid,1985-12-23,2006-03-09,39.82460309702325,adventure,16,43,apparel,-29753,16.82591117841344,1997-09-11,53.627198616364915,1
power,2012-08-08,1983-04-09,33.70292473046491,guide,5,266,show,2031,47.86713461673635,2018-05-09,6.684189545640492,0
nuclear,2008-05-12,2005-11-12,29.265104064373798,ticket,3,-10,design,-18861,35.04847215332983,1988-01-25,12.692269621326968,0
energy,2007-08-11,2002-12-27,34.31238935304487,traveler,4,70,fashion,-38154,20.841769576721273,2022-02-08,48.901849857701784,1
generation,2001-11-23,2007-04-20,7.970395240152134,tourist,-2,148,show,-32858,1.369498256625573,1990-04-24,13.133263516512867,0
facility,1983-01-28,2021-03-06,24.312806995816665,agency,7,82,industry,-25698,44.08748495405725,1985-10-01,40.69899053724441,0
grid,2013-09-14,1980-06-01,2.1977951858518385,accommodation,-9,179,collection,9281,44.885638716323086,2001-08-27,40.77901914910295,0
efficiency,1987-09-26,2006-01-04,4.063924660891404,tourist,20,136,designer,1682,25.940507519035265,1983-08-18,65.77513440411661,1
wind,1988-01-07,2004-07-22,14.391304998037834,destination,9,116,trend,35903,39.43847050382113,2001-01-23,43.071084733657194,1
facility,2013-02-12,1988-10-10,8.585159743809314,destination,25,320,design,15745,29.52495976301387,1983-08-09,54.113381668790055,1
renewable,2014-09-04,2020-09-02,44.34907753228882,booking,15,388,collection,22013,38.0938782427819,1992-07-09,58.407132770500695,1
gas,2017-09-15,2020-09-25,29.56475991642777,booking,20,441,accessory,-49172,39.795827456027524,1991-05-03,41.43420787014992,1
coal,2005-10-07,2022-04-02,1.8079328368781775,traveler,-9,117,week,-11103,37.11418496212653,1985-05-16,19.553040861291834,0
grid,1998-02-04,2012-04-17,26.200312894024567,tourist,11,90,clothing,44144,31.50946137175795,1989-08-12,51.889799454571566,1
consumption,2006-06-26,2021-01-18,19.061222085864852,explore,19,99,apparel,-5696,24.600703403931078,1996-03-19,60.210733810654574,1
resource,2000-03-20,1983-10-14,3.1266406536620712,holiday,5,38,design,19151,27.280760519825648,1990-06-23,40.38815820419275,0
production,1999-08-25,1982-01-16,26.605075294007992,package,10,475,industry,45165,2.815031944666134,2006-10-09,18.45135418732304,0
solar,2015-01-19,2011-10-27,30.868308775124248,tourism,6,-50,accessory,-149,32.83643330888628,1993-10-15,56.041004936935956,1
facility,1998-01-06,2022-10-13,22.820101367955473,trip,24,155,industry,28395,43.90846842440471,2020-03-02,67.35525010393394,1
grid,2000-05-12,2000-05-13,24.15183500176849,ticket,0,192,collection,27105,7.324138090321712,2008-05-07,38.07312708878712,0
electricity,1987-07-01,2004-08-25,41.536196762158816,ticket,25,35,collection,-41076,47.057801924002916,2022-10-07,52.560168319917565,1
production,1987-04-13,1989-03-26,5.537088038778569,journey,-2,185,runway,-1150,35.21476052107279,2003-08-19,47.068333064746724,0
consumption,1999-09-17,1980-08-04,17.474846721236037,ticket,16,100,brand,-26687,2.7281537251388244,1988-07-22,52.016287243256386,1
coal,1992-09-28,1983-07-17,10.76716572717131,vacation,-9,164,collection,5734,31.504495474665614,1995-07-01,17.988316312496746,0
industry,1994-11-26,2019-04-09,12.656883974477859,journey,8,245,show,-18195,47.78724397467379,1994-10-04,59.8703884670151,1
efficiency,2014-05-08,2000-06-16,40.588139053891304,accommodation,-6,435,industry,-20319,28.29200710851417,2012-01-26,42.78724725655853,0
energy,1987-06-04,2011-10-02,47.215484958475386,adventure,-5,382,show,-16330,4.095588337325165,1983-09-16,1.143052582899064,0
coal,2019-02-20,2014-07-04,47.48866045221521,travel,12,364,clothing,42562,42.61437307536268,1980-07-25,55.854988112395105,1
industry,1992-10-28,2023-11-20,23.457990718700852,package,18,322,industry,-34107,46.4251332574364,2006-04-03,60.60170019777043,1
wind,1996-06-07,1987-04-03,33.64490314458748,traveler,5,392,industry,-23999,23.377944421930007,2018-07-26,24.5174303019709,0
consumption,1997-02-03,2020-06-14,41.50569969949605,vacation,-2,31,runway,-19875,6.09256197944602,1996-02-21,24.895257865022973,0
generation,2020-05-06,2021-07-19,36.96942993203029,adventure,9,352,couture,9187,34.07700548848325,2009-02-26,67.36053768158304,1
fuel,2017-08-05,1992-07-25,28.52734114219713,guide,4,383,industry,36763,5.734224653373193,1984-05-24,42.58021682968776,0
facility,1998-11-17,1982-11-28,23.636033081287557,holiday,6,-7,show,21522,8.668263921014084,2002-12-03,12.664574045064573,0
energy,1992-08-07,1998-04-04,44.410604408374596,tourist,1,79,week,-49273,12.938905378293185,1989-11-16,1.1573319457369475,0
industry,2007-06-20,2013-01-12,36.50137868560362,industry,10,27,model,17903,36.764508164538334,2008-02-27,9.184034399934925,0
grid,1983-06-08,2006-11-24,26.162659029358213,journey,-4,348,model,-48607,8.330193751847393,2011-01-11,13.197842503471273,0
solar,2015-04-17,1992-07-02,4.047265394258915,booking,21,119,show,41455,10.11820515818236,2018-07-24,52.82560845217184,1
generation,2002-03-04,2005-04-12,44.15165134378991,package,2,-82,collection,-2281,20.307346604808572,2016-02-12,67.82173941434733,1
gas,1994-05-14,2012-02-06,16.575300839625633,destination,12,-98,apparel,42457,11.25578043442469,2011-10-19,67.26399778450187,1
fuel,2008-03-07,2013-10-01,14.32815634176144,package,14,113,fashion,-11483,31.829868390318378,1999-11-11,55.02161543554372,1
efficiency,1985-05-24,1998-01-26,37.80472684529273,ticket,23,-39,designer,14563,38.04262427526878,2002-05-20,51.95833024516733,1
gas,1987-11-10,1998-04-25,22.19441922580227,adventure,8,144,design,12805,9.546766676334876,1984-01-04,22.323658273022104,0
renewable,1994-06-14,2009-02-13,39.028964828112855,holiday,-6,159,show,27135,47.44575987702289,2005-11-11,2.3937955399944557,0
gas,2000-07-22,2006-01-06,46.15099680646204,holiday,-5,308,show,38094,15.176132830920006,2002-05-25,41.60327715002833,0
power,2020-04-20,1999-10-17,27.88052994968669,explore,-2,259,show,14287,19.501303858031775,1995-03-13,46.35055435900455,0
production,2016-01-20,1993-03-09,35.413114312481525,package,0,306,design,11225,30.956403792577976,1990-11-02,69.47368254073331,1
coal,2012-12-04,2011-03-25,38.240463759354,tourism,4,121,brand,28205,15.850560694131186,1999-02-26,41.9528122048822,1
generation,2017-08-02,2014-04-28,26.647181995065694,guide,24,370,designer,8492,15.563456002544187,2000-06-03,58.83588196373265,1
power,2018-09-13,1990-03-16,33.28204443689707,package,2,252,collection,49652,46.739532969468236,1992-04-06,40.29814302154374,1
renewable,2002-01-23,2009-02-21,23.5716135791191,tourist,24,442,style,-41846,19.049982717376558,2019-09-10,62.75937076897641,1
electricity,1993-08-14,2004-01-17,31.34115840339498,travel,-2,36,design,-49480,49.91605239498536,2002-04-02,2.262322123648549,0
solar,1982-11-22,2007-06-07,16.961446214075195,destination,25,-21,garment,45548,6.107138726006839,1987-10-05,52.35492237576601,1
efficiency,1999-06-07,1988-04-26,33.76253485502083,traveler,16,-40,fashion,-47336,19.91757759148756,2015-12-24,69.57755111369481,1
fuel,2002-01-23,2010-04-09,3.420066087952801,agency,6,303,runway,-15868,15.105511799793275,2000-05-19,7.345486569626543,0
wind,1987-03-02,1993-08-10,18.24848697545041,adventure,26,-15,runway,-30448,45.747478968451816,2014-01-24,63.49211144178285,1
energy,2003-09-18,2015-02-16,48.9638982239433,ticket,1,398,accessory,34975,19.215932329629215,2004-01-23,53.94275286562891,1
consumption,2009-05-21,1987-01-03,7.760680478344437,accommodation,9,485,design,35887,36.81441367499268,1995-07-24,16.581403279295742,0
wind,1982-06-01,1998-06-02,1.3871638406094808,ticket,29,-12,apparel,-27484,23.712931130408624,2000-01-21,40.978408898568205,1
facility,1990-11-26,2010-02-19,5.872449647340264,vacation,1,22,design,-18428,39.1459791724547,2006-10-26,44.71995848958408,0
solar,2008-08-09,2018-11-11,14.720368114010714,package,-6,251,runway,-35207,35.0433819058574,2008-12-19,38.027261161724915,0
electricity,2011-04-01,2017-01-21,16.453720432493753,vacation,-2,-49,model,9073,11.511108415205854,2001-09-07,3.0599285194112236,0
energy,2018-09-04,2015-07-03,36.664978753223885,package,0,-7,design,-16083,14.46061340534489,2002-07-08,26.72318952696413,0
wind,2018-03-15,1999-02-21,14.776302043086421,booking,3,111,runway,-36204,31.338260781048643,1997-01-07,42.11472200615159,0
renewable,2019-12-17,1983-09-13,1.4029403461749395,guide,5,381,trend,2266,47.54822192835923,2008-08-23,60.08434845224936,1
resource,2019-06-11,1999-10-18,24.369307701100976,journey,0,-80,fashion,12415,37.25386826485273,2021-03-09,45.62429677354774,1
production,2019-02-22,1982-01-21,32.031657461831344,trip,16,250,industry,-18087,24.4897242025416,1990-04-20,58.564561653731076,1
solar,1985-03-04,1996-05-19,8.955402087753424,tourism,4,472,industry,30479,2.3081188911531765,1988-03-11,37.33995023118755,0
electricity,1996-01-26,2009-07-10,8.544633857237985,trip,-3,84,show,4838,48.04118937027444,1993-10-28,17.69280047101282,0
production,2015-07-27,2010-10-01,22.811051426516233,booking,16,383,brand,-42262,33.53840632404391,1995-02-03,61.162760001846415,1
fuel,1984-04-28,2000-09-02,24.643404811593772,explore,2,75,industry,-4365,32.44054988775735,1989-04-08,60.20909135149122,1
wind,1982-02-23,1982-06-05,37.68228476548765,experience,-2,468,collection,33612,39.3670267980953,1988-09-08,20.903277333021926,0
grid,2022-05-14,2022-02-18,39.71333542622204,traveler,2,-68,industry,27659,47.63950384748284,2015-11-17,64.4861486581024,1
